"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_name","gene_symbol"
"54587",22.0645207595809,0.19862498876888,1.057526483771,0.187820344754497,0.851017486778669,0.999768645777355,"ENSG00000162576","matrix remodeling associated 8","MXRA8"
"54998",205.239826165574,0.083994920457914,0.4086548712865,0.205539995628797,0.837150253090944,0.999768645777355,"ENSG00000175756","aurora kinase A interacting protein 1","AURKAIP1"
"81669",1179.95868749614,0.516629248204316,0.235711606243641,2.19178536194059,0.0283950085709396,0.457019572927429,"ENSG00000221978","cyclin L2","CCNL2"
"148413",277.255140471496,-0.299154353999067,0.338369542884287,-0.884105441196194,0.37663929621228,0.998139332016304,"ENSG00000224870","MRPL20 antisense RNA 1","MRPL20-AS1"
"55052",1518.95861494237,-0.356327294431189,0.237773805580113,-1.49859776842042,0.133978012008587,0.823696267045599,"ENSG00000242485","mitochondrial ribosomal protein L20","MRPL20"
"107984868",104.009776577686,0.163082507452643,0.557390441751322,0.292582174427387,0.769841540561187,0.999768645777355,NA,NA,NA
"441869",270.118578089207,0.558933166776682,0.429535501078878,1.3012502234921,0.193172819231902,0.894301367976016,"ENSG00000235098","ankyrin repeat domain 65","ANKRD65"
"105378585",3.84959855846778,1.00263471662532,2.31470136183446,0.433159427456639,0.66489895198356,NA,NA,"ANKRD65 antisense RNA 1","ANKRD65-AS1"
"102724312",2.39406881754125,-3.20950966345943,4.01997512675424,-0.798390428363376,0.424643956042874,NA,NA,"long intergenic non-protein coding RNA 1770","LINC01770"
"64856",141.667784971552,0.620469515664629,0.499889833522312,1.24121251135014,0.214527254131393,0.913794384756875,"ENSG00000179403","von Willebrand factor A domain containing 1","VWA1"
"219293",163.757063372089,-0.374878308071521,0.430251035117403,-0.871301350778222,0.38358963313715,0.998139332016304,"ENSG00000215915","ATPase family AAA domain containing 3C","ATAD3C"
"83858",49.3283970602197,0.40923419918744,0.76118168707013,0.537630116618578,0.590832434022296,0.999768645777355,"ENSG00000160072","ATPase family AAA domain containing 3B","ATAD3B"
"55210",13.3111301022668,0.581840543051229,1.33724950943998,0.435102453912954,0.663488062324359,0.999768645777355,"ENSG00000197785","ATPase family AAA domain containing 3A","ATAD3A"
"29101",866.510855053029,0.102924744920371,0.305960213987702,0.336399114051176,0.736569917480588,0.999768645777355,"ENSG00000160075","SSU72 homolog, RNA polymerase II CTD phosphatase","SSU72"
"643988",17.776199330012,-1.66122938310261,1.24927061075668,-1.3297594362653,0.183597544783253,0.88746291075261,"ENSG00000228594","fibronectin type III domain containing 10","FNDC10"
"105378586",2.35260808716995,-0.0677360841143102,3.94887971752743,-0.0171532406554846,0.986314365245622,NA,NA,"uncharacterized LOC105378586","LOC105378586"
"142678",453.29161758081,-0.0552397446002605,0.279825279372508,-0.197407985168933,0.843508281313773,0.999768645777355,"ENSG00000197530","MIB E3 ubiquitin protein ligase 2","MIB2"
"8510",15.8989535515545,-0.223987604349861,1.2015747033774,-0.186411717657067,0.85212190412033,0.999768645777355,"ENSG00000189409","matrix metallopeptidase 23B","MMP23B"
"984",234.519431334783,0.262002598636509,0.364333742633045,0.7191280081362,0.472062051652668,0.999768645777355,"ENSG00000248333","cyclin dependent kinase 11B","CDK11B"
"728661",713.395597609428,-0.00355281088157022,0.278590100556515,-0.0127528252959207,0.989824993391792,0.999768645777355,"ENSG00000189339","solute carrier family 35 member E2B","SLC35E2B"
"728642",263.41283364082,-0.14957869657981,0.396239432291401,-0.377495737147653,0.705805231732252,0.999768645777355,"ENSG00000008128","cyclin dependent kinase 11A","CDK11A"
"9906",827.908715505067,-0.646885220057092,0.256203776056924,-2.52488558136382,0.0115735964029751,0.301338885530261,NA,"solute carrier family 35 member E2A (pseudogene)","SLC35E2A"
"112268218",21.5916584883497,0.395463453317343,1.04457989687506,0.37858612299586,0.704995228665109,0.999768645777355,NA,"uncharacterized LOC112268218","LOC112268218"
"65220",74.0482615019065,0.811059582182221,0.60995345998232,1.32970732259758,0.183614721254009,0.88746291075261,"ENSG00000008130","NAD kinase","NADK"
"2782",1793.02711209928,-0.0514519665313208,0.201046118572217,-0.255921212986955,0.798011674360422,0.999768645777355,"ENSG00000078369","G protein subunit beta 1","GNB1"
"105378949",7.10362280747566,-0.442236026111432,2.3614675012681,-0.187271696889308,0.851447613000474,NA,"ENSG00000231050","GNB1 divergent transcript","GNB1-DT"
"339456",6.12425882513625,-4.62310961097083,2.493322089424,-1.8541967083117,0.0637110228574783,NA,"ENSG00000178821","transmembrane protein 52","TMEM52"
"5590",29.8297950713368,-0.0764746032154692,0.979870769872708,-0.078045601080032,0.937791779173923,0.999768645777355,"ENSG00000067606","protein kinase C zeta","PRKCZ"
"100506504",3.38310302546283,1.61526638596133,3.00597633152562,0.537351664755636,0.591024724208342,NA,"ENSG00000182873","PRKCZ antisense RNA 1","PRKCZ-AS1"
"199990",70.6139102065696,0.281183969022233,0.650177717616645,0.43247247852936,0.66539805062507,0.999768645777355,"ENSG00000162585","FA core complex associated protein 20","FAAP20"
"112268219",18.7341379901551,-0.653902837540826,1.14417387277583,-0.571506528072016,0.567656336478689,0.999768645777355,NA,"uncharacterized LOC112268219","LOC112268219"
"6497",44.795522289213,0.616372163680439,0.797651675684369,0.772733490657566,0.439680121954614,0.999768645777355,"ENSG00000157933","SKI proto-oncogene","SKI"
"79906",10.3763005236484,0.677148082855857,1.50251916543534,0.45067517169384,0.652223679362392,0.999768645777355,"ENSG00000116151","MORN repeat containing 1","MORN1"
"100129534",9.70477143471249,-0.455377653645813,1.69554628205457,-0.268572824266413,0.788258427232927,NA,"ENSG00000292993","small nuclear ribonucleoprotein polypeptide N pseudogene","LOC100129534"
"11079",140.928157158663,0.171424806855252,0.536115609139203,0.319753433649311,0.749155250272734,0.999768645777355,"ENSG00000157916","retention in endoplasmic reticulum sorting receptor 1","RER1"
"5192",37.2232474032508,-0.17379887318731,0.810405687860071,-0.214459098437768,0.830189059631985,0.999768645777355,"ENSG00000157911","peroxisomal biogenesis factor 10","PEX10"
"9651",123.345038686759,0.634220006670659,0.494725528602757,1.28196337161309,0.199855495582394,0.8992941185434,"ENSG00000149527","phospholipase C eta 2","PLCH2"
"55229",93.9494651664725,0.934837658945619,0.542410339118413,1.72348790486742,0.0848003305681198,0.721717521271418,"ENSG00000157881","pantothenate kinase 4 (inactive)","PANK4"
"115110",18.4248852741352,1.98927915747473,1.20006922435959,1.65763700717873,0.0973907553780931,0.759251709167542,NA,"TNFRSF14 antisense RNA 1","TNFRSF14-AS1"
"8764",97.9966102900255,1.2326927978186,0.575094098018831,2.14346278646427,0.0320759561606961,0.485115767913994,"ENSG00000157873","TNF receptor superfamily member 14","TNFRSF14"
"100996583",6.26890730278908,-1.23610537801541,1.89185766428653,-0.653381806332445,0.513510164979819,NA,"ENSG00000228037","uncharacterized LOC100996583","LOC100996583"
"127281",47.8332769759147,0.545300992855916,0.780966877882519,0.698238309842822,0.485028171884848,0.999768645777355,"ENSG00000157870","peroxiredoxin like 2B","PRXL2B"
"79258",6.73973653061668,0.99585274717409,1.83812207850437,0.541777262141581,0.58797195707674,NA,"ENSG00000142606","membrane metalloendopeptidase like 1","MMEL1"
"100287898",41.2198350931685,0.0506041372440433,0.777350010931046,0.0650982653019247,0.948095761593378,0.999768645777355,"ENSG00000215912","tetratricopeptide repeat domain 34","TTC34"
"440556",9.09734177731827,-1.49805458928335,1.64488133774479,-0.910737178973195,0.36243386962941,NA,"ENSG00000177133","PRDM16 divergent transcript","PRDM16-DT"
"63976",24.9199082315844,-0.0546029412561462,1.30696955718437,-0.041778280875783,0.966675449243503,0.999768645777355,"ENSG00000142611","PR/SET domain 16","PRDM16"
"105378604",8.09128743670271,-1.10068366422802,1.69466611170085,-0.649498834388866,0.516015999611918,NA,NA,"uncharacterized LOC105378604","LOC105378604"
"27237",34.1857941527846,2.02859220360019,1.12145465262837,1.80889365329731,0.0704675266109913,0.671950176706083,"ENSG00000130762","Rho guanine nucleotide exchange factor 16","ARHGEF16"
"1953",7.18039219380113,4.76435707646736,2.49381440931607,1.91046978422664,0.0560727532283792,NA,"ENSG00000162591","multiple EGF like domains 6","MEGF6"
"127262",569.070149858884,0.0912452875797593,0.268361639296947,0.340008683129241,0.733849988895916,0.999768645777355,"ENSG00000158109","tumor protein p63 regulated 1 like","TPRG1L"
"49856",92.921914945789,0.597865759977834,0.539800318600874,1.10756837181471,0.268048269102219,0.954388425288834,"ENSG00000116213","WD repeat containing, antisense to TP73","WRAP73"
"7161",15.7944594787144,-0.735356422674306,1.36766872160302,-0.537671448545234,0.590803893933906,0.999768645777355,"ENSG00000078900","tumor protein p73","TP73"
"105378610",68.7948555026671,4.83708604271249,0.836772918719529,5.78064363043015,7.44153744293052e-09,3.33864577377078e-06,NA,"TP73 antisense RNA 3","TP73-AS3"
"57212",160.676744867759,-0.11223384567977,0.492471640643156,-0.227899104064541,0.819724679250443,0.999768645777355,"ENSG00000293478","Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene","GFOD3P"
"148870",4.78427917588145,-1.25250196907937,2.62388388258717,-0.477346569103658,0.633115354852385,NA,"ENSG00000162592","coiled-coil domain containing 27","CCDC27"
"388588",15.6489278149635,2.68207991309404,1.32117731262203,2.03006809719668,0.0423496178333298,0.547160721120904,"ENSG00000235169","small integral membrane protein 1 (Vel blood group)","SMIM1"
"57470",416.774066722675,0.706238568876297,0.317838702759861,2.22200305609064,0.0262830990684614,0.439996731233777,"ENSG00000130764","leucine rich repeat containing 47","LRRC47"
"9731",386.473057307805,0.214187610941204,0.299259063336792,0.715726396229988,0.474160308500368,0.999768645777355,"ENSG00000116198","centrosomal protein 104","CEP104"
"1677",98.9707780840662,0.199719539828525,0.532023135272245,0.375396343856973,0.707365723602208,0.999768645777355,"ENSG00000169598","DNA fragmentation factor subunit beta","DFFB"
"107984910",8.86952336089328,1.22775870603039,2.31523832870885,0.53029473933903,0.595907593522979,NA,NA,NA,NA
"339448",433.424115761212,-0.12510410810034,0.286091332667444,-0.437287305888997,0.661903000233812,0.999768645777355,"ENSG00000198912","chromosome 1 open reading frame 174","C1orf174"
"728716",3.48877553247899,5.19265819860313,3.30706814067599,1.57016970250323,0.116375636087944,NA,NA,"long intergenic non-protein coding RNA 1346","LINC01346"
"55966",7.99876836163573,0.23016391038104,1.73061223256869,0.132995656710119,0.89419681542981,NA,"ENSG00000196581","adherens junctions associated protein 1","AJAP1"
"261734",111.721180507567,0.305633644016086,0.525114931848594,0.582031904787292,0.560545190752308,0.999768645777355,"ENSG00000131697","nephrocystin 4","NPHP4"
"8514",61.7442077061782,1.51766430035335,0.667014762995646,2.2753084107724,0.0228874352487238,0.417440412582815,"ENSG00000069424","potassium voltage-gated channel subfamily A regulatory beta subunit 2","KCNAB2"
"26038",26.6621990087291,0.912183915087052,0.962006395295805,0.948209824329251,0.343022646733697,0.98965485920073,"ENSG00000116254","chromodomain helicase DNA binding protein 5","CHD5"
"6146",3575.24633997546,-0.0447361749247382,0.189340858112369,-0.236273223702137,0.813220663178124,0.999768645777355,"ENSG00000116251","ribosomal protein L22","RPL22"
"107985733",6.24414673240251,1.0761110424993,1.88775922720446,0.570046766023702,0.568645979524078,NA,NA,NA,NA
"102724450",6.3810906539689,-1.80651662670288,1.85915331679075,-0.971687816377222,0.331205879804696,NA,"ENSG00000226944","RNF207 antisense RNA 1","RNF207-AS1"
"388591",160.468755617014,-0.109713864840705,0.429802201538803,-0.255265944306243,0.798517701317637,0.999768645777355,"ENSG00000158286","ring finger protein 207","RNF207"
"23463",461.342947380312,-0.0796700616936262,0.32558370386817,-0.244699168745512,0.806689371723707,0.999768645777355,"ENSG00000116237","isoprenylcysteine carboxyl methyltransferase","ICMT"
"387509",23.617578828889,-0.192167334709058,1.17220211481067,-0.163937031234666,0.869780714743573,0.999768645777355,"ENSG00000158292","G protein-coupled receptor 153","GPR153"
"11332",77.0530899876823,0.8258710746417,0.646384216796836,1.27767828047274,0.201362886494411,0.901379859976662,"ENSG00000097021","acyl-CoA thioesterase 7","ACOT7"
"8718",2.60389602616966,3.21427704366642,3.23819371270319,0.99261419446806,0.320898004707044,NA,"ENSG00000215788","TNF receptor superfamily member 25","TNFRSF25"
"57449",12.6320517201568,1.19075005997568,1.36581682979021,0.871822658795749,0.383305131345221,0.998139332016304,"ENSG00000171680","pleckstrin homology and RhoGEF domain containing G5","PLEKHG5"
"79707",283.696414841302,0.0373249625467871,0.431712421279284,0.0864579305737437,0.9311023973375,0.999768645777355,"ENSG00000162408","nucleolar protein 9","NOL9"
"80835",3.1539600015387,5.0455981767028,4.18529542603053,1.20555364988612,0.227989639954784,NA,"ENSG00000173662","taste 1 receptor member 1","TAS1R1"
"3104",104.818934250269,0.740107507729505,0.577105608224415,1.28244726300027,0.199685793593769,0.8992941185434,"ENSG00000204859","zinc finger and BTB domain containing 48","ZBTB48"
"9903",183.787564597691,-0.0247464195748182,0.412304933471087,-0.0600197028119083,0.95213994240321,0.999768645777355,"ENSG00000162413","kelch like family member 21","KLHL21"
"107984913",7.58564006628933,0.908993747857673,1.70657578195388,0.532641888786769,0.594281499573225,NA,NA,"uncharacterized LOC107984913","LOC107984913"
"148479",113.822764142981,0.817914801646098,0.641281873004693,1.27543727037504,0.202154513938122,0.901454267553632,"ENSG00000116273","PHD finger protein 13","PHF13"
"90326",207.086979811703,0.289190766826284,0.396243247200325,0.729831407524479,0.465493243906348,0.999768645777355,"ENSG00000041988","THAP domain containing 3","THAP3"
"55735",182.916799020971,0.178143980207544,0.447795878140658,0.397824073207719,0.690759870899591,0.999768645777355,"ENSG00000007923","DnaJ heat shock protein family (Hsp40) member C11","DNAJC11"
"110841581",8.4479085114907,0.196205985175032,1.7567693505135,0.111685683221694,0.911072631435702,NA,NA,"CAMTA1 divergent transcript","CAMTA1-DT"
"23261",844.531900760104,0.240082956031458,0.246745389968485,0.972998750096699,0.330553923306931,0.986631288951733,"ENSG00000171735","calmodulin binding transcription activator 1","CAMTA1"
"101928836",7.07782378807868,6.21261712132931,2.5196161555294,2.46569982800574,0.0136745876228954,NA,NA,"CAMTA1 antisense RNA 1","CAMTA1-AS1"
"105376689",35.4220217107915,0.0299933728942202,0.987616647005734,0.0303694484951771,0.975772410180919,0.999768645777355,NA,"translation initiation factor IF-2","LOC105376689"
"9341",1250.48678035867,-0.0339162807663364,0.252873859016473,-0.13412331704926,0.893305061888004,0.999768645777355,"ENSG00000049245","vesicle associated membrane protein 3","VAMP3"
"8863",1048.28447496592,-1.30427598867454,0.233924294257763,-5.57563288931995,2.46631548227144e-08,1.02931389871729e-05,"ENSG00000049246","period circadian regulator 3","PER3"
"3604",4.43384485177601,3.95376484980115,2.92462095695004,1.35188966638752,0.176410613761349,NA,"ENSG00000049249","TNF receptor superfamily member 9","TNFRSF9"
"11315",3361.50837246684,-0.023397618661825,0.222424787818305,-0.105193395445377,0.916222351318095,0.999768645777355,"ENSG00000116288","Parkinsonism associated deglycase","PARK7"
"54206",1091.73211443862,-1.33157498844568,0.444567674075053,-2.99521325120207,0.00274253029343338,0.127837528950534,"ENSG00000116285","ERBB receptor feedback inhibitor 1","ERRFI1"
"102724539",7.70337142807396,-1.19735582672489,1.71853192626416,-0.696731790911659,0.485970659544337,NA,"ENSG00000227634","long intergenic non-protein coding RNA 1714","LINC01714"
"50651",38.2568249909325,0.514942384336034,0.862793983452179,0.596831218358368,0.550620072822534,0.999768645777355,"ENSG00000162426","solute carrier family 45 member 1","SLC45A1"
"473",959.566611692707,0.0482508305151908,0.250692764262905,0.192469976774397,0.847374083290491,0.999768645777355,"ENSG00000142599","arginine-glutamic acid dipeptide repeats","RERE"
"102724552",3.05320792202452,0.154395492854657,3.60885625107068,0.042782389242811,0.965875002483523,NA,NA,"RERE antisense RNA 1","RERE-AS1"
"2023",4272.63050191365,-0.277524757323503,0.191669262833978,-1.44793564299297,0.147635050183472,0.844541287825786,"ENSG00000074800","enolase 1","ENO1"
"100505975",44.4703043725971,0.61137831980533,0.767868280151716,0.796202077372611,0.425914590318203,0.999768645777355,"ENSG00000230679","ENO1 antisense RNA 1","ENO1-AS1"
"112268261",7.61625625767432,-0.774646347589337,1.72099766003575,-0.450114701244419,0.652627736927955,NA,NA,"uncharacterized LOC112268261","LOC112268261"
"6518",2.40443400013407,-4.79234968650857,4.60377574406875,-1.0409607141883,0.297893781579331,NA,"ENSG00000142583","solute carrier family 2 member 5","SLC2A5"
"80045",9.70262192543387,2.27394208167126,1.94876869517248,1.16686094522367,0.243266530017274,NA,"ENSG00000180758","G protein-coupled receptor 157","GPR157"
"106614088",63.4422271896454,0.0368948771048782,0.783787921873252,0.0470725257116741,0.962455424362097,0.999768645777355,"ENSG00000228526","MIR34A host gene","MIR34AHG"
"102724571",21.4530056168609,0.373588901368964,1.10635954301481,0.337674044326442,0.73560883663736,0.999768645777355,"ENSG00000234546","long non coding transcriptional activator of miR34a","LNCTAM34A"
"9563",238.451947859049,-0.479389799281882,0.41657975291092,-1.1507755620192,0.249824581017596,0.940796598782789,"ENSG00000049239","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase","H6PD"
"80176",59.8125963321925,-0.0994832520480153,0.654958334907913,-0.151892489561191,0.879271732023982,0.999768645777355,"ENSG00000171621","splA/ryanodine receptor domain and SOCS box containing 1","SPSB1"
"100506022",5.0027861364708,-0.11721626056662,2.09724571290604,-0.0558905710691379,0.955428982286776,NA,"ENSG00000284693","long intergenic non-protein coding RNA 2606","LINC02606"
"84275",83.7877458590672,-0.0680510189221362,0.581727022039029,-0.11698101746006,0.906875096062144,0.999768645777355,"ENSG00000171612","solute carrier family 25 member 33","SLC25A33"
"199953",57.4936144745386,0.0994438403872524,0.737226070541116,0.134889207477785,0.892699472746469,0.999768645777355,"ENSG00000188807","transmembrane protein 201","TMEM201"
"107985734",7.55654992185199,-0.934877312777799,1.69279426847493,-0.552268713445048,0.580764262671147,NA,NA,NA,NA
"5293",86.7438045577834,0.286723352142689,0.583810312998451,0.491124164405519,0.623338631508873,0.999768645777355,"ENSG00000171608","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","PIK3CD"
"101929074",38.7236598951653,0.50956312895539,0.906414960441275,0.562174226148383,0.573997319994901,0.999768645777355,"ENSG00000231789","PIK3CD antisense RNA 2","PIK3CD-AS2"
"22883",559.395878997727,0.170314894904129,0.271575019083835,0.627137560290673,0.530569068175164,0.999768645777355,"ENSG00000171603","calsyntenin 1","CLSTN1"
"56998",251.304643149693,0.061474024984829,0.358852874517709,0.17130704349923,0.863982342419716,0.999768645777355,"ENSG00000178585","catenin beta interacting protein 1","CTNNBIP1"
"105376717",13.0086203141152,-1.01522583706377,1.49885580552521,-0.677333892507443,0.49819413153699,0.999768645777355,NA,"uncharacterized LOC105376717","LOC105376717"
"84328",900.548512094991,-0.488135456619428,0.2636051701489,-1.85176738507708,0.0640592329481179,0.650484288991035,"ENSG00000162441","leucine zipper and CTNNBIP1 domain containing","LZIC"
"64802",257.058586554654,0.139548843484038,0.356467958637871,0.391476541165943,0.695445025340243,0.999768645777355,"ENSG00000173614","nicotinamide nucleotide adenylyltransferase 1","NMNAT1"
"113391335",2.74331646592692,1.97662386171884,3.78122959205396,0.522746321956382,0.601150798351673,NA,"ENSG00000283611","transmembrane protein 274, pseudogene","TMEM274P"
"116362",50.1006691390805,0.358271917882587,0.893065668808042,0.401170854950416,0.688294337055879,0.999768645777355,"ENSG00000162444","retinol binding protein 7","RBP7"
"10277",566.003769388924,0.0518732113104573,0.273795266767446,0.189459854156343,0.849732416963622,0.999768645777355,"ENSG00000130939","ubiquitination factor E4B","UBE4B"
"23095",762.918882972144,0.234591471884656,0.253766947681484,0.924436669266731,0.35525901029021,0.993534869079129,"ENSG00000054523","kinesin family member 1B","KIF1B"
"105376725",18.291044605817,0.445136954720222,1.22897004854243,0.362203257311402,0.717200145605824,0.999768645777355,NA,NA,NA
"5226",848.095443414838,-0.137621542207979,0.235667910017456,-0.583963859134598,0.559244627573321,0.999768645777355,"ENSG00000142657","phosphogluconate dehydrogenase","PGD"
"100526739",111.136930362019,-0.0792292950533425,0.521141441481461,-0.152030310289881,0.879163029361659,0.999768645777355,"ENSG00000251503","CENPS-CORT readthrough","CENPS-CORT"
"378708",185.729567932287,-0.140888682477625,0.402447521291349,-0.350079637776251,0.726278931868185,0.999768645777355,"ENSG00000175279","centromere protein S","CENPS"
